host_ID,host_species,village,grid,season,total_reads,asv_ID,reads,asv_degree,asv_group,host_group
2313,Rattus rattus,Mandena,agriculture,2,16409,ASV_2,0.03552928271070754,157,1,1
2324,Rattus rattus,Mandena,agriculture,2,17706,ASV_2,0.21190556873376257,157,1,1
2328,Rattus rattus,Mandena,agriculture,2,17193,ASV_2,0.2296865003198976,157,1,14
2342,Rattus rattus,Mandena,agriculture,2,14217,ASV_2,0.13427586691988466,157,1,57
2353,Rattus rattus,Mandena,secondary_forest,2,11974,ASV_2,0.6644396191748789,157,1,1
2354,Rattus rattus,Mandena,secondary_forest,2,10820,ASV_2,0.01737523105360443,157,1,30
2357,Rattus rattus,Mandena,secondary_forest,2,4347,ASV_2,0.0342765125373821,157,1,8
2361,Rattus rattus,Mandena,secondary_forest,2,4761,ASV_2,0.03276622558286074,157,1,12
2368,Rattus rattus,Mandena,secondary_forest,2,14485,ASV_2,0.1386261649982741,157,1,2
2377,Rattus rattus,Mandena,semi-intact_forest,2,9486,ASV_2,0.02150537634408602,157,1,4
2381,Rattus rattus,Mandena,semi-intact_forest,2,15608,ASV_2,0.0274218349564326,157,1,1
2397,Rattus rattus,Mandena,flooded_rice,2,12857,ASV_2,0.7399859998444427,157,1,1
2398,Rattus rattus,Mandena,flooded_rice,2,4117,ASV_2,0.39834831187758074,157,1,2
2399,Rattus rattus,Mandena,flooded_rice,2,9390,ASV_2,0.17444089456869008,157,1,1
2410,Rattus rattus,Mandena,flooded_rice,2,12641,ASV_2,0.03251325053397674,157,1,5
2419,Rattus rattus,Mandena,flooded_rice,2,18487,ASV_2,0.05355114404716828,157,1,1
2420,Rattus rattus,Mandena,flooded_rice,2,11590,ASV_2,0.04322691975841243,157,1,9
2428,Rattus rattus,Mandena,flooded_rice,2,14604,ASV_2,0.01958367570528622,157,1,1
2429,Rattus rattus,Mandena,flooded_rice,2,13927,ASV_2,0.02146908882027716,157,1,1
2434,Rattus rattus,Mandena,flooded_rice,2,23163,ASV_2,0.07719207356560032,157,1,1
2437,Rattus rattus,Mandena,flooded_rice,2,18659,ASV_2,0.436840130767994,157,1,1
2438,Rattus rattus,Mandena,flooded_rice,2,11924,ASV_2,0.10441127138544112,157,1,1
2462,Rattus rattus,Mandena,agroforest,2,11683,ASV_2,0.3164426945133955,157,1,1
2464,Rattus rattus,Mandena,agroforest,2,48247,ASV_2,0.18044645262917905,157,1,56
2475,Rattus rattus,Mandena,agroforest,2,42720,ASV_2,0.11486423220973782,157,1,1
